Dataset,Dataset Label,Variable,Type,Role,Origin,Comment
ADSL,Subject-Level Analysis Dataset,STUDYID,object,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,USUBJID,object,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,SUBJID,int64,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,SITEID,int64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,COUNTRY,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,REGION,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,TRT01P,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,TRT01A,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,TRT01PN,int64,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,TRT01AN,int64,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,RANDDT,datetime64[ns],Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,TRTSDT,datetime64[ns],Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,TRTEDT,datetime64[ns],Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,TRTDURD,int64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,TRTDURM,float64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,RDI,float64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,FASFL,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,SAFFL,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,ITTFL,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,AGE,int64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,AGEGR1,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,AGEGR1N,int64,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,SEX,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,RACE,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,ECOG,int64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,ECOGN,int64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,STAGE,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,STAGE4FL,object,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,PDL1CAT,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,PDL1HIGHFL,object,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,HISTOLOGY,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,DISEASE_MONTHS,float64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADSL,Subject-Level Analysis Dataset,DCSREAS,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,STUDYID,object,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,USUBJID,object,Identifier,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,TRT01P,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,TRT01PN,int64,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,PARAM,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,PARAMCD,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,AVAL,float64,Analysis,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,AVALD,int64,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,CNSR,int64,Analysis,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,EVNTDESC,object,Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,STARTDT,datetime64[ns],Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,ADT,datetime64[ns],Covariate/Descriptor,Source/Assigned,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
ADTTE,Time-to-Event Analysis Dataset,ANL01FL,object,Covariate/Descriptor,Derived,Simulated portfolio variable; see programs/python/build_adam.py for derivation logic.
