Subgroup,N,Events,HR,LCL,UCL
Age: <65,261,224,0.6131672853808622,0.4690613103742885,0.8015457927265974
Age: >=65,159,135,0.8705214020005807,0.6192482067010355,1.2237540668517681
Sex: Male,235,200,0.7819444385191334,0.5913462891874077,1.0339747050263945
Sex: Female,185,159,0.582544912556144,0.42502552473552824,0.7984428120080813
ECOG: 0,180,151,0.8660912045316267,0.6289014674485235,1.192736880723596
ECOG: 1,240,208,0.5906404013355964,0.44757367044576035,0.779438351104147
Stage: IIIB/IIIC,76,62,0.7772358316872806,0.47081744216472016,1.283078076464444
Stage: IV,344,297,0.6730780961824564,0.534660113634655,0.8473310651150765
PD-L1: <1%,131,118,0.6174572637239966,0.4263532647482486,0.8942196625388716
PD-L1: 1-49%,175,147,0.605676115410924,0.4349040862091153,0.8435045068831044
PD-L1: >=50%,114,94,0.8548105568552262,0.5696322060128836,1.2827594374019917
Region: Asia,240,204,0.7669552146312637,0.5815809574626664,1.0114160267839367
Region: Europe,95,83,0.4610950024670502,0.29553821168787103,0.7193946261156677
Region: North America,61,52,1.0454711844550866,0.6019869372361987,1.8156706232598245
