Output,Title,Source analysis dataset,Population,Location
Table 14.1.1,Demographics and baseline characteristics,ADSL,FAS,outputs/tables/t14_1_1_demographics.*
Table 14.1.2,Subject disposition,ADSL,Randomized Set,outputs/tables/t14_1_2_disposition.*
Table 14.1.3,Extent of exposure,ADSL,Safety Set,outputs/tables/t14_1_3_exposure.*
Table 14.2.1,Primary PFS analysis,ADTTE,FAS,outputs/tables/t14_2_1_primary_pfs.*
Table 14.2.2,Overall survival analysis,ADTTE,FAS,outputs/tables/t14_2_2_overall_survival.*
Table 14.2.3,Best overall response,ADRS,FAS,outputs/tables/t14_2_3_best_overall_response.*
Table 14.2.5,PFS sensitivity analyses,ADTTE,FAS,outputs/tables/t14_2_5_pfs_sensitivity.*
Table 14.3.1,Overall TEAE summary,ADAE/ADSL,Safety Set,outputs/tables/t14_3_1_safety_overview.*
Table 14.3.2,TEAEs by SOC/PT,ADAE/ADSL,Safety Set,outputs/tables/t14_3_2_teae_by_soc_pt.*
Table 14.3.3,Grade >=3 TEAEs by SOC/PT,ADAE/ADSL,Safety Set,outputs/tables/t14_3_3_grade3_teae_by_soc_pt.*
Table 14.3.4,Laboratory shift summary,ADLB/ADSL,Safety Set,outputs/tables/t14_3_4_lab_shift.*
Table 14.3.5,Exposure-adjusted TEAE rates,ADAE/ADSL,Safety Set,outputs/tables/t14_3_5_exposure_adjusted_teae.*
Listing 16.2.1,Deaths,ADSL/ADTTE/ADAE,Safety Set,outputs/listings/l16_2_1_deaths.*
Listing 16.2.2,Serious adverse events,ADAE,Safety Set,outputs/listings/l16_2_2_serious_adverse_events.*
Listing 16.2.3,AEs leading to treatment discontinuation,ADAE,Safety Set,outputs/listings/l16_2_3_ae_discontinuations.*
